File / Data,Focal Group,,Grouping_for_statistical_tests,Grouping_tests_MW,,,,,,,,,,,Infraphylum,Phylum,Kingdom,Paper Title,Year Published,Journal/Book,CI,RI,L,#mpts,MinL,TSI,PSI,meanci,meanri,MHER,originalchars,uninformativechars,informativechars,Taxa,%missingchars,Average GC standard bootstrap support,average jackknife support,Average symmetric resampling support,1st taxon in matrix (1st 10 chars),2nd taxon,3rd taxon,4th,5th,6th
Karasawa_et_Schweitzer_2006a.tnt,Crustacea,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,A new classification of the Xanthoidea <em>sensu lato</em> (Crustacea: Decapoda: Brachyura) based on phylogenetic analysis and traditional systematics and evaluation of all fossil Xanthoidea <em>sensu lato</em>,2006,Contributions to Zoology,0.335,0.753,215,2,72,0.353,1,0.252,0.277,0.598,71,2,69,45,2.2,42.2,14.3,47.2,,,,,,
Lamsdell_inpressa.tnt,Xiphosura,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,Revised systematics of Palaeozoic 'horseshoe crabs' and the myth of monophyletic Xiphosura,2013,Zoological Journal of the Linnean Society,0.592,0.781,282,12,167,0.312,0.527,0.375,0.262,0.665,114,1,113,37,36.8,49.8,19.5,54.3,,,,,,
Lieberman_1993a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Systematics and biogeography of the &quot;<em>Metacryphaeus</em> Group&quot; Calmoniidae (Trilobita, Devonian), with comments on adaptive radiations and the geological history of the Malvinokaffric Realm",1993,Journal of Paleontology,0.484,0.608,95,8,46,0.011,0.022,0.437,0.333,0.32,38,1,37,17,5.4,19.2,11.4,20.9,,,,,,
Lieberman_1994aa.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Evolution of the trilobite subfamily Proetinae Salter, 1864, and the origin, diversification, evolutioanry affinity, and extinction of the Middle Devonian proetid fauna of eastern North America",1994,Bulletin of the American Museum of Natural History,0.487,0.512,80,1,39,0.15,0.308,0.563,0.379,0.099,33,1,32,14,29.2,20.6,10.3,20.4,,,,,,
Lieberman_1994ab.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Evolution of the trilobite subfamily Proetinae Salter, 1864, and the origin, diversification, evolutioanry affinity, and extinction of the Middle Devonian proetid fauna of eastern North America",1994,Bulletin of the American Museum of Natural History,0.5,0.614,54,1,27,0.259,0.519,0.447,0.353,0.236,25,5,20,16,16,23.5,9.3,23.5,,,,,,
Lieberman_1994ac.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Evolution of the trilobite subfamily Proetinae Salter, 1864, and the origin, diversification, evolutioanry affinity, and extinction of the Middle Devonian proetid fauna of eastern North America",1994,Bulletin of the American Museum of Natural History,0.348,0.42,201,1,70,0.095,0.272,0.371,0.296,0.074,49,2,47,19,5.2,12.2,7.1,13.9,,,,,,
Lieberman_1994ad.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Evolution of the trilobite subfamily Proetinae Salter, 1864, and the origin, diversification, evolutioanry affinity, and extinction of the Middle Devonian proetid fauna of eastern North America",1994,Bulletin of the American Museum of Natural History,0.758,0.758,33,1,25,0.212,0.28,0.625,0.4,0.512,20,3,17,10,15.5,38.4,16.8,36.5,,,,,,
Lieberman_1998a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,Cladistic analysis of the Early Cambrian olenelloid trilobites,1998,Journal of Paleontology,0.31,0.442,435,8,135,0.074,0.237,0.283,0.28,0.168,79,0,79,26,9.3,19.1,10.1,22.8,,,,,,
Lieberman_1999aa.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Systematic revision of the Olenelloidea (Trilobita, Cambrian)",1999,Bulletin of the Peabody Museum of Natural History,0.583,0.714,24,22,14,0.167,0.286,0.641,0.512,0.304,13,1,12,12,7.1,21.8,13.2,24.5,,,,,,
Lieberman_1999ab.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Systematic revision of the Olenelloidea (Trilobita, Cambrian)",1999,Bulletin of the Peabody Museum of Natural History,0.567,0.567,60,1,34,0.217,0.382,0.597,0.397,0.235,25,0,25,10,5.6,36.1,21.1,42.4,,,,,,
Lieberman_1999ac.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Systematic revision of the Olenelloidea (Trilobita, Cambrian)",1999,Bulletin of the Peabody Museum of Natural History,0.423,0.531,52,2,22,0.154,0.364,0.45,0.467,0.139,20,0,20,12,3.3,19.7,11.2,19.6,,,,,,
