File / Data,Focal Group,,Grouping_for_statistical_tests,Grouping_tests_MW,,,,,,,,,,,Infraphylum,Phylum,Kingdom,Paper Title,Year Published,Journal/Book,CI,RI,L,#mpts,MinL,TSI,PSI,meanci,meanri,MHER,originalchars,uninformativechars,informativechars,Taxa,%missingchars,Average GC standard bootstrap support,average jackknife support,Average symmetric resampling support,1st taxon in matrix (1st 10 chars),2nd taxon,3rd taxon,4th,5th,6th
Clarke_et_Middleton_2008a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"Mosaicism, modules, and the evolution of birds: results from a Bayesian approach to the study of morphological evolution using discrete character data",2008,Systematic Biology,0.617,0.814,412,2,254,0.095,0.153,0.35,0.24,0.726,205,14,191,25,36.8,54.6,24.2,56.3,,,,,,
Clarke_et_Norell_2002a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,The morphology and phylogenetic position of Apsaravis ukhaana from the Late Cretaceous of Mongolia,2002,American Museum Novitates,0.662,0.813,370,2,245,0.13,0.196,0.367,0.225,0.732,202,15,187,19,30.4,65.8,43.2,65.2,,,,,,
Clarke_et_Norell_2004a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,New avialan remains and a review of the known avifauna from the Late Cretaceous Nemegt Formation of Mongolia,2004,American Museum Novitates,0.662,0.813,370,1082,245,0.016,0.024,0.368,0.224,0.732,202,15,187,22,39.5,22.6,10.3,22.5,,,,,,
Clarke_etal_2005aa.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Definitive fossil evidence for the extant avian radiation in the Cretaceous,2005,Nature,0.659,0.814,372,2,245,0.094,0.143,0.396,0.21,0.732,202,15,187,20,32.2,56.6,35.3,56.1,,,,,,
Clarke_etal_2005ab.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Definitive fossil evidence for the extant avian radiation in the Cretaceous,2005,Nature,0.226,0.475,725,12,164,0.074,0.33,0.239,0.198,0.245,148,1,147,47,10.6,23.3,11.7,27.3,,,,,,
Clarke_etal_2005ac.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Definitive fossil evidence for the extant avian radiation in the Cretaceous,2005,Nature,0.706,0.807,153,1,108,0.124,0.176,0.361,0.201,0.713,123,31,92,11,10.7,61.7,32.9,62.8,,,,,,
Clarke_etal_2006a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Insight into the evolution of avian flight from a new clade of Early Cretaceous ornithurines from China and the morphology of Yixianornis grabaui,2006,Journal of Anatomy,0.617,0.814,412,2,254,0.095,0.153,0.35,0.24,0.726,205,14,191,25,36.8,54.6,24.2,56.3,,,,,,
Cracraft_et_Clarke_2001a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,The basal clades of modern birds,2001, Peabody Museum Special Publication,0.837,0.871,49,1,41,0.592,0.707,0.557,0.33,0.801,44,3,41,8,7.7,82.8,65.5,82.9,,,,,,
Farke_et_Patel_2012a.tnt,Enantiornithes,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"An enantiornithine bird from the Campanian Kaiparowits Formation of Utah, USA",2012,Cretaceous Research,0.454,0.668,625,7041,284,0.024,0.053,0.355,0.248,0.512,242,27,215,36,51.2,24.3,13.4,25.9,,,,,,
Forster_etal_1998a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,The theropod ancestry of birds: new evidence from the Late Cretaceous of Madagascar,1998,Science,0.577,0.712,227,2,131,0.167,0.29,0.482,0.295,0.577,113,1,112,15,19.8,65.8,38.1,71.9,,,,,,
Gao_etal_2008a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A new basal lineage of Early Cretaceous birds from China and its implications on the evolution of the avian tail,2008,Palaeontology,0.655,0.741,354,3,232,0.347,0.53,0.355,0.206,0.628,242,65,177,15,34.6,70.6,48.9,71.5,,,,,,
Gauthier_1986a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Saurischian monophyly and the origin of birds,1986,The Origin of Birds and the Evolution of Flight,0.857,0.935,98,585,84,0.082,0.095,0.471,0.312,0.897,84,0,84,18,39,23.5,12.1,24.8,,,,,,
Godefroit_etal_2013b.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A Jurassic avialan dinosaur from China resolves the early phylogenetic history of birds,2013,Nature,0.271,0.58,4429,144,1201,0.051,0.189,0.176,0.129,0.438,1500,505,995,101,71.4,37.5,15.4,40.3,,,,,,
Grellet-Tinner_et_Chiappe_2004a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Dinosaur eggs and nesting: implications for understanding the origin of birds,2004,Feathered Dragons,0.786,0.909,14,1,11,0.714,0.909,0.438,0.503,0.787,11,2,9,11,5.8,46.5,20.7,49.4,,,,,,
Hou_etal_1996a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Early adaptive radiation of birds: evidence from fossils from northeastern China,1992,Science,0.812,0.86,32,1,26,0.313,0.385,0.448,0.323,0.741,32,8,24,8,12.9,87.8,38.5,73.8,,,,,,
Hu_etal_2010a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A new sapeornithid bird from China and its implications for early avian evolution,2010,Acta Geologica Sinica,0.561,0.697,278,10,156,0.072,0.128,0.378,0.266,0.541,179,32,147,21,47.4,45,15,43.7,,,,,,
Hu_etal_2011a.tnt,Enantiornithes,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A new enantiornithine bird from the Lower Cretaceous of western Liaoning, China",2011,Journal of Vertebrate Paleontology,0.561,0.676,107,56,60,0.075,0.133,0.499,0.357,0.449,54,2,52,18,35.4,24.6,12,25.9,,,,,,
Hu_etal_2012a.tnt,Enantiornithes,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A new enantiornithine bird from the Lower Cretaceous of western Liaoning, China, and its implications for early avian evolution",2012,Journal of Vertebrate Paleontology,0.549,0.8,466,3,256,0.12,0.219,0.291,0.234,0.704,205,13,192,30,38.3,40.8,18.2,44.4,,,,,,
Hutchinson_2001a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,The evolution of femoral osteology and soft tissues on the line to extant birds (Neornithes),2001,Zoological Journal of the Linnean Society,0.607,0.908,61,4914,37,0.213,0.351,0.285,0.453,0.818,21,0,21,47,8.5,10.4,4.2,11.3,,,,,,
Hutchinson_2002a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,The evolution of hindlimb tendons and muscles on the line to crown-group birds,2002,Comparative Biochemistry and Physiology Part A,0.878,0.965,196,1,172,0.357,0.407,0.358,0.264,0.947,100,7,93,35,40.2,53.7,29.5,55.4,,,,,,
James_et_Pourtless_2009aa.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Cladistics and the origin of birds: a review and two new analyses,2009,Ornithological Monographs,0.226,0.63,1346,114,304,0.074,0.329,0.157,0.219,0.467,242,21,221,79,43,19.5,8.5,22.9,,,,,,
James_et_Pourtless_2009ab.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Cladistics and the origin of birds: a review and two new analyses,2009,Ornithological Monographs,0.228,0.631,1351,72,308,0.078,0.341,0.164,0.223,0.467,242,21,221,79,43,19.5,8.5,22.9,,,,,,
Ji_etal_2005a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,First avialian bird from China,2005,Geological Bulletin of China,0.597,0.793,382,8,228,0.209,0.351,0.328,0.248,0.687,205,19,186,25,43.1,51,26.9,53.3,,,,,,
Ji_etal_2011a.tnt,Enantiornithes,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A new, three-dimensionally preserved enantiornithine bird (Aves: Ornithothoraces) from Gansu Province, north-western China",2011,Zoological Journal of the Linnean Society,0.474,0.673,597,3,283,0.089,0.187,0.326,0.25,0.52,242,28,214,33,49.8,30.5,15.6,31.4,,,,,,
Kurochkin_1996a.tnt,Enantiornithes,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A new enantiornithid of the Mongolian Late Cretaceous, and a general appraisal of the infraclass Enantiornithes (Aves)",1996,Russian Academy of Sciences: Palaeontological Institute,0.652,0.695,178,100000,116,0,0,0.46,0.345,0.421,122,25,97,40,78.3,5.1,3.5,5.4,,,,,,
Kurochkin_etal_2011a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A new taxon of birds (Aves) from the Early Cretaceous of western Siberia, Russia",2011,Journal of Systematic Palaeontology,0.465,0.698,626,28,291,0.043,0.093,0.315,0.259,0.563,242,21,221,35,48.5,29.4,13.3,29.6,,,,,,
Lamanna_etal_2006a.tnt,Enantiornithes,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A partial skeleton of an enantiornithine bird from the Early Cretaceous of northwestern China,2006,Acta Palaeontologica Polonica,0.633,0.781,256,18,162,0.102,0.16,0.413,0.289,0.667,169,19,150,23,49.8,44.8,11.6,44.5,,,,,,
Lee_et_Worthy_2012a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Likelihood reinstates Archaeopteryx as a primitive bird,2012,Biology Letters,0.321,0.739,1401,540,450,0,0,0.181,0.222,0.638,374,3,371,89,51.8,39.6,16.2,44.9,,,,,,
Livezey_1997a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A phylogenetic analysis of basal Anseriformes, the fossil Presbyornis, and the interordinal relationships of waterfowl",1997,Zoological Journal of the Linnean Society,0.706,0.804,153,1,108,0.464,0.657,0.342,0.213,0.71,123,31,92,10,2.7,78.7,67.8,78.6,,,,,,
Livezey_et_Zusi_2007a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"Higher-order phylogeny of modern birds (Theropoda_minus_Aves, Aves: Neornithes) based on comparative anatomy. II. Analysis and discussion",2007,Zoological Journal of the Linnean Society,0.207,0.688,19409,16,4015,0.29,0.411,0.168,0.073,0.628,2954,362,2592,188,22.1,65.9,49.2,68.8,,,,,,
Longrich_2006a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"An ornithurine bird from the Late Cretaceous of Alberta, Canada",2006,Canadian Journal of Earth Sciences,0.571,0.743,42,94,24,0.238,0.417,0.553,0.295,0.521,22,0,22,19,9.1,19.7,10.3,22.7,,,,,,
Longrich_etal_2011a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Mass extinction of birds at the Cretaceous-Paleogene (K-Pg) boundary,2011,"Proceedings of the National Academy of Sciences, USA",0.556,0.811,502,100000,279,0.076,0.136,0.297,0.255,0.715,227,13,214,46,57.1,31.1,8.1,31.6,,,,,,
Manegold_et_Louchart_2012a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"Biogeographic and paleoenvironmental implications of a new woodpecker species (Aves, Picidae) from the early Pliocene of South Africa",2012,Journal of Vertebrate Paleontology,0.338,0.786,142,8,48,0.232,0.688,0.162,0.329,0.648,50,4,46,33,1,29.2,11.7,32.2,,,,,,
Mayr_et_Clarke_2003a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,The deep divergences of neornithine birds: a phylogenetic analysis of morphological characters,2003,Cladistics,0.227,0.474,724,6,164,0.087,0.383,0.24,0.198,0.246,148,1,147,46,9,24.7,12.2,28.5,,,,,,
Naish_etal_2012a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A gigantic bird from the Upper Cretaceous of central Asia,2012,Biology Letters,0.313,0.594,3961,4,1240,0.05,0.161,0.285,0.187,0.459,1025,4,1021,72,60.3,46.5,25.3,52.8,Herrerasa,Tawa     ,Allosauru,Alvarezsa,Anchiorni,
Norell_et_Clarke_2001a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Fossil that fills a critical gap in avian evolution,2001,Nature,0.668,0.804,334,3,223,0.251,0.376,0.377,0.284,0.716,201,26,175,17,30.8,67.5,48.4,69.9,Dromeosau,Archaeopt,Anas_plat,Chauna_to,Gallus_ga,Crax_paux
OConnor_et_Zhou_inpressa.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A redescription of Chaoyangia beishanensis (Aves) and a comprehensive phylogeny of Mesozoic birds,2013,Journal of Systematic Palaeontology,0.372,0.674,854,3060,318,0.04,0.107,0.278,0.261,0.511,245,15,230,60,57.2,20.9,8.8,21.1,Dromaeosa,Archaeopt,Jeholorni,Rahonavis,Shenzhour,Jixiangor
OConnor_etal_2009a.tnt,Enantiornithes,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Phylogenetic support for a specialized clade of Cretaceous enantiornithine birds with information from a new species,2009,Journal of Vertebrate Paleontology,0.485,0.684,582,6,282,0.151,0.312,0.332,0.284,0.542,242,29,213,29,43.8,41.7,23.1,44.1,Dromaeosa,Archaeopt,Zhongorni,Jeholorni,Sapeornis,Confucius
OConnor_etal_2010a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A new ornithuromorph (Aves: Ornithothoraces) bird from the Jehol Group indicative of higher-level diversity,2010,Journal of Vertebrate Paleontology,0.485,0.696,582,6,282,0.155,0.319,0.343,0.313,0.557,242,29,213,30,43.9,43.4,24.2,45.6,Dromaeosa,Archaeopt,Zhongorni,Jeholorni,Sapeornis,Confucius
OConnor_etal_2011a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Pre-modern birds: avian divergences in the Mesozoic,2011,Living Dinosaurs: The Evolutionary History of Modern Birds,0.403,0.691,769,1344,310,0.049,0.123,0.29,0.269,0.537,245,18,227,54,56.7,22.9,9.5,23.5,Dromaeosa,Archaeopt,Jeholoror,Rahonavis,Shenzhour,
OConnor_etal_2013a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A new enantiornithine from the Yixian Formation with the first recognized avian enamel specialization,2013,Journal of Vertebrate Paleontology,0.379,0.671,818,4692,310,0.055,0.145,0.308,0.342,0.508,246,17,229,60,56.9,21.9,9,22.1,Dromaeo,Archaeo  ,Jeholor  ,Raho     ,Shenzhou ,Jixiang  
Sanz_et_Buscalioni_1992a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A new bird from the Early Cretaceous of Los Hoyas, Spain, and the early radiation of birds",1992,Palaeontology,0.714,0.7,21,3,15,0.095,0.133,0.679,0.536,0.376,14,1,13,8,17,35.8,22.5,36.7,Non_avian,Archaeopt,Iberomeso,Concornis,Hesperorn,Carinatae
Sanz_etal_1995aa.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,The osteology of Concornis lacustris (Aves: Enantiomithes) from the Lower Cretaceous of Spain and a reexamination of its phylogenetic relationships,1995,American Museum Novitates,0.833,0.873,96,1,80,0.406,0.6,0.542,0.353,0.809,84,5,79,9,19.8,84,68.1,84.9,Dromaeosa,Archaeopt,Iberomeso,Enantiorn,Patagopte,Hesperorn
Sanz_etal_1995ab.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,The osteology of Concornis lacustris (Aves: Enantiomithes) from the Lower Cretaceous of Spain and a reexamination of its phylogenetic relationships,1995,American Museum Novitates,0.833,0.875,12,1,10,0.5,0.493,0.75,0.667,0.71,10,0,10,9,16.7,49.7,23.1,52.6,Mononykus,Patagopte,Yungavolu,Lectavis_,Avisaurus,Soroavisa
Sanz_etal_1996a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,An Early Cretaceous bird from Spain and its implications for the evolution of avian flight,1996,Nature,0.859,0.888,92,1,79,0.424,0.3,0.624,0.376,0.832,84,6,78,8,18.5,93.8,72.9,94,Dromaeosa,Archaeopt,Iberomeso,Enantiorn,Concornis,Hesperorn
Smith_etal_2013a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A new species of Threskiornithidae-like bird (Aves, Ciconiiformes) from the Green River Formation (Eocene) of Wyoming",2013,Journal of Vertebrate Paleontology,0.209,0.688,19424,64,4053,0.277,0,0.628,0.397,0.627,2954,361,2593,189,22.4,,,,Non_Archo,Crocodyli,Ornithisc,Sauropodo,Herrerasa,
Varricchio_2002a.tnt,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A new bird from the Upper Cretaceous Two Medicine Formation of Montana,2002,Canadian Journal of Earth Sciences,0.438,0.686,48,2547,21,0.188,0.5,0.44,0.447,0.333,26,5,21,35,4.7,12.3,5.3,13.1,Troodon_f,Deinonych,Neuquenor,Struthio_,Crypturei,Diomedea_
Varricchio_et_Chiappe_1995a.tnt,Enantiornithes,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A new enantiornithine bird from the Upper Cretaceous Two Medicine Formation of Montana,1995,Journal of Vertebrate Paleontology,0.833,0.875,12,1,10,0.417,0,0.8,0.65,0.714,10,0,10,8,15,51.8,25.8,54.5,Mononykus,Patagopte,Yungavolu,Lectavis_,Avisaurus,Soroavisa
You_etal_2005a,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A new fossil bird from the Early Cretaceous of Gansu Province, northwestern China",2005,Historical Biology,0.608,0.779,301,15,183,0.14,0.229,0.401,0.3,0.67,169,1,168,26,48,47.3,15.1,55.1,,,,,,
You_etal_2006b,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A nearly modern amphibious bird from the Early Cretaceous of northwestern China,2006,Science,0.517,0.762,491,5,254,0.12,0.232,0.328,0.257,0.65,202,9,193,28,37.4,41.4,25.1,42.4,,,,,,
You_etal_2010a,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A second Cretaceous ornithuromorph bird from the Changma Basin, Gansu Province, northwestern China",2010,Acta Palaeontologica Polonica,0.478,0.677,592,2,283,0.066,0.138,0.352,0.314,0.524,242,28,214,34,51.5,31.4,12.5,29.4,,,,,,
Zhang_et_Zhou_2000a,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A primitive enantiornithine bird and the origin of feathers,2000,Science,0.709,0.803,117,1,83,0.256,0.362,0.47,0.329,0.706,86,4,82,11,19.2,64.6,48.5,67.1,,,,,,
Zhang_etal_2008b,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A primitive confuciusornithid bird from China and its implications for early avian flight,2008,Science in China Series D: Earth Sciences,0.596,0.774,307,27,183,0.143,0.24,0.406,0.305,0.664,169,1,168,25,44.6,46.4,16.6,54.4,,,,,,
Zhou_et_Zhang_2002a,,,Aves,Aves,Theropoda_minus_Aves,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A long-tailed, seed-eating bird from the Early Cretaceous of China",2002,Nature,0.688,0.825,311,4,214,0.209,0.304,0.372,0.286,0.742,201,27,174,18,32.7,73.3,39.9,72.9,,,,,,
